order_id,customer_id,product_id,order_date,quantity,price,updated_at
2-0,8994,6884,2025-01-03,12,244.92,2026-04-20 11:20:22.767552
2-1,2680,5166,2025-01-03,8,84.22,2026-04-20 11:20:22.767552
2-2,5219,9740,2025-01-03,11,24.69,2026-04-20 11:20:22.769065
2-3,5050,8302,2025-01-03,10,494.72,2026-04-20 11:20:22.769065
2-4,6017,1736,2025-01-03,4,329.79,2026-04-20 11:20:22.770172
2-5,9757,239,2025-01-03,18,388.72,2026-04-20 11:20:22.770172
2-6,2757,7096,2025-01-03,4,424.6,2026-04-20 11:20:22.771190
2-7,1355,4275,2025-01-03,5,448.91,2026-04-20 11:20:22.772204
2-8,5078,6976,2025-01-03,10,232.04,2026-04-20 11:20:22.772204
2-9,9775,3054,2025-01-03,9,64.28,2026-04-20 11:20:22.772204
2-10,3018,7209,2025-01-03,18,182.92,2026-04-20 11:20:22.773719
2-11,4982,2777,2025-01-03,3,286.03,2026-04-20 11:20:22.773719
2-12,7278,8146,2025-01-03,10,19.07,2026-04-20 11:20:22.774810
2-13,1929,5680,2025-01-03,10,20.22,2026-04-20 11:20:22.774810
2-14,2242,4123,2025-01-03,12,78.29,2026-04-20 11:20:22.775830
2-15,500,7480,2025-01-03,14,186.92,2026-04-20 11:20:22.776866
2-16,4432,5008,2025-01-03,9,433.95,2026-04-20 11:20:22.776866
2-17,3759,9564,2025-01-03,14,150.21,2026-04-20 11:20:22.777884
2-18,2109,2727,2025-01-03,12,413.69,2026-04-20 11:20:22.777884
2-19,2799,8754,2025-01-03,12,205.23,2026-04-20 11:20:22.777884
2-20,6707,3049,2025-01-03,15,256.33,2026-04-20 11:20:22.779400
2-21,8718,3879,2025-01-03,8,90.65,2026-04-20 11:20:22.780471
2-22,341,615,2025-01-03,7,378.86,2026-04-20 11:20:22.780471
2-23,4708,3175,2025-01-03,1,362.18,2026-04-20 11:20:22.781478
2-24,7627,5592,2025-01-03,10,463.65,2026-04-20 11:20:22.781478
2-25,1682,9670,2025-01-03,20,465.91,2026-04-20 11:20:22.782481
2-26,7552,116,2025-01-03,15,269.82,2026-04-20 11:20:22.782481
2-27,9983,4236,2025-01-03,11,428.5,2026-04-20 11:20:22.783988
2-28,3277,526,2025-01-03,16,144.43,2026-04-20 11:20:22.785008
2-29,3484,215,2025-01-03,9,88.01,2026-04-20 11:20:22.785008
2-30,7371,7919,2025-01-03,16,400.37,2026-04-20 11:20:22.786032
2-31,847,8138,2025-01-03,19,219.9,2026-04-20 11:20:22.786032
2-32,9384,2449,2025-01-03,15,312.06,2026-04-20 11:20:22.787056
2-33,3874,7294,2025-01-03,13,275.58,2026-04-20 11:20:22.788078
2-34,4160,9844,2025-01-03,3,144.74,2026-04-20 11:20:22.788078
2-35,4079,7950,2025-01-03,15,97.15,2026-04-20 11:20:22.788078
2-36,376,7491,2025-01-03,14,202.47,2026-04-20 11:20:22.789598
2-37,4142,5252,2025-01-03,7,195.98,2026-04-20 11:20:22.789598
2-38,6304,2468,2025-01-03,6,307.43,2026-04-20 11:20:22.790632
2-39,5674,9673,2025-01-03,6,137.88,2026-04-20 11:20:22.791653
2-40,137,4068,2025-01-03,12,165.36,2026-04-20 11:20:22.791653
2-41,7550,7582,2025-01-03,7,393.49,2026-04-20 11:20:22.792676
2-42,6883,5546,2025-01-03,10,20.25,2026-04-20 11:20:22.792676
2-43,8163,5322,2025-01-03,16,252.5,2026-04-20 11:20:22.794196
2-44,2204,8604,2025-01-03,18,458.01,2026-04-20 11:20:22.794196
2-45,1938,6422,2025-01-03,5,193.55,2026-04-20 11:20:22.795239
2-46,2901,4071,2025-01-03,17,446.7,2026-04-20 11:20:22.795239
2-47,4099,7498,2025-01-03,20,340.13,2026-04-20 11:20:22.796253
2-48,1484,3621,2025-01-03,18,161.5,2026-04-20 11:20:22.797275
2-49,9571,7725,2025-01-03,12,145.74,2026-04-20 11:20:22.797275
2-50,8039,1129,2025-01-03,19,413.78,2026-04-20 11:20:22.798292
2-51,3322,7533,2025-01-03,10,418.34,2026-04-20 11:20:22.799907
2-52,869,2182,2025-01-03,8,465.19,2026-04-20 11:20:22.799907
2-53,5374,2676,2025-01-03,20,147.6,2026-04-20 11:20:22.800929
2-54,4989,6684,2025-01-03,20,193.26,2026-04-20 11:20:22.800929
2-55,5516,8435,2025-01-03,13,300.26,2026-04-20 11:20:22.801944
2-56,5889,2219,2025-01-03,16,128.39,2026-04-20 11:20:22.802969
2-57,4353,957,2025-01-03,19,17.73,2026-04-20 11:20:22.802969
2-58,3810,732,2025-01-03,14,440.09,2026-04-20 11:20:22.802969
2-59,1503,4542,2025-01-03,4,196.9,2026-04-20 11:20:22.804490
2-60,1931,3138,2025-01-03,13,472.1,2026-04-20 11:20:22.805523
2-61,8004,3789,2025-01-03,6,466.57,2026-04-20 11:20:22.805523
2-62,5054,559,2025-01-03,10,218.1,2026-04-20 11:20:22.806536
2-63,3487,6952,2025-01-03,9,20.86,2026-04-20 11:20:22.806536
2-64,9521,7334,2025-01-03,16,434.77,2026-04-20 11:20:22.807550
2-65,2270,3109,2025-01-03,11,407.76,2026-04-20 11:20:22.808575
2-66,5892,2656,2025-01-03,13,114.24,2026-04-20 11:20:22.808575
2-67,8117,983,2025-01-03,16,463.27,2026-04-20 11:20:22.808575
2-68,4131,3532,2025-01-03,9,491.0,2026-04-20 11:20:22.810096
2-69,2110,2863,2025-01-03,20,467.07,2026-04-20 11:20:22.810096
2-70,8426,2969,2025-01-03,12,293.01,2026-04-20 11:20:22.811634
2-71,7666,7014,2025-01-03,1,279.47,2026-04-20 11:20:22.811634
2-72,7409,1952,2025-01-03,7,288.67,2026-04-20 11:20:22.812662
2-73,7474,5786,2025-01-03,5,152.4,2026-04-20 11:20:22.812662
2-74,378,2447,2025-01-03,4,382.82,2026-04-20 11:20:22.813686
2-75,5796,7241,2025-01-03,3,200.85,2026-04-20 11:20:22.815230
2-76,5358,7544,2025-01-03,19,426.95,2026-04-20 11:20:22.815230
2-77,1740,3268,2025-01-03,11,38.36,2026-04-20 11:20:22.816248
2-78,9056,1633,2025-01-03,15,248.47,2026-04-20 11:20:22.816248
2-79,6730,289,2025-01-03,19,34.12,2026-04-20 11:20:22.817269
2-80,327,5315,2025-01-03,13,87.79,2026-04-20 11:20:22.818282
2-81,1635,8705,2025-01-03,16,259.78,2026-04-20 11:20:22.818282
2-82,346,5284,2025-01-03,3,44.61,2026-04-20 11:20:22.819285
2-83,6107,8978,2025-01-03,15,438.76,2026-04-20 11:20:22.819285
2-84,9181,6083,2025-01-03,3,297.42,2026-04-20 11:20:22.820297
2-85,5476,2686,2025-01-03,4,157.54,2026-04-20 11:20:22.820819
2-86,9575,4874,2025-01-03,9,299.46,2026-04-20 11:20:22.821843
2-87,6730,169,2025-01-03,2,93.53,2026-04-20 11:20:22.821843
2-88,3551,607,2025-01-03,2,15.06,2026-04-20 11:20:22.822857
2-89,4297,5390,2025-01-03,6,437.47,2026-04-20 11:20:22.822857
2-90,7069,7731,2025-01-03,15,152.21,2026-04-20 11:20:22.823872
2-91,7142,3884,2025-01-03,6,134.8,2026-04-20 11:20:22.824872
2-92,6078,4127,2025-01-03,14,84.24,2026-04-20 11:20:22.825394
2-93,7108,8826,2025-01-03,17,30.42,2026-04-20 11:20:22.825394
2-94,1001,730,2025-01-03,7,430.64,2026-04-20 11:20:22.826419
2-95,4108,5259,2025-01-03,17,394.17,2026-04-20 11:20:22.826419
2-96,6258,6965,2025-01-03,1,195.58,2026-04-20 11:20:22.827442
2-97,3956,4218,2025-01-03,12,282.15,2026-04-20 11:20:22.827442
2-98,6533,7722,2025-01-03,11,418.1,2026-04-20 11:20:22.828465
2-99,1232,5623,2025-01-03,15,232.36,2026-04-20 11:20:22.828465
2-100,8799,5072,2025-01-03,7,491.74,2026-04-20 11:20:22.829479
2-101,9250,403,2025-01-03,16,432.03,2026-04-20 11:20:22.829479
2-102,7058,181,2025-01-03,20,361.13,2026-04-20 11:20:22.830553
2-103,7011,2001,2025-01-03,11,122.97,2026-04-20 11:20:22.831145
2-104,4085,6764,2025-01-03,7,405.66,2026-04-20 11:20:22.831145
2-105,9437,7219,2025-01-03,1,220.38,2026-04-20 11:20:22.832230
2-106,3860,460,2025-01-03,12,476.35,2026-04-20 11:20:22.832230
2-107,7400,8645,2025-01-03,19,351.63,2026-04-20 11:20:22.833343
2-108,6611,6811,2025-01-03,12,40.65,2026-04-20 11:20:22.833343
2-109,6824,7258,2025-01-03,19,219.57,2026-04-20 11:20:22.834430
2-110,4498,5966,2025-01-03,11,287.92,2026-04-20 11:20:22.835444
2-111,3892,7182,2025-01-03,4,256.27,2026-04-20 11:20:22.836034
2-112,4627,1674,2025-01-03,1,335.71,2026-04-20 11:20:22.836034
2-113,6284,1512,2025-01-03,2,17.47,2026-04-20 11:20:22.837120
2-114,3928,3791,2025-01-03,18,359.99,2026-04-20 11:20:22.837120
2-115,744,3339,2025-01-03,11,418.8,2026-04-20 11:20:22.838230
2-116,2141,7644,2025-01-03,11,463.18,2026-04-20 11:20:22.838230
2-117,3493,9493,2025-01-03,17,407.87,2026-04-20 11:20:22.839317
2-118,3672,6136,2025-01-03,7,160.66,2026-04-20 11:20:22.839317
2-119,6655,8497,2025-01-03,9,367.65,2026-04-20 11:20:22.839317
2-120,3270,6237,2025-01-03,18,450.31,2026-04-20 11:20:22.840918
2-121,6702,4345,2025-01-03,10,108.83,2026-04-20 11:20:22.840918
2-122,2918,8627,2025-01-03,11,106.42,2026-04-20 11:20:22.842027
2-123,7602,9134,2025-01-03,19,345.68,2026-04-20 11:20:22.842027
2-124,3376,8,2025-01-03,4,267.64,2026-04-20 11:20:22.843163
2-125,1376,5432,2025-01-03,9,128.62,2026-04-20 11:20:22.843163
2-126,429,7932,2025-01-03,20,491.66,2026-04-20 11:20:22.844248
2-127,9936,77,2025-01-03,8,372.36,2026-04-20 11:20:22.844248
2-128,4414,5849,2025-01-03,13,215.75,2026-04-20 11:20:22.844248
2-129,650,9473,2025-01-03,4,248.81,2026-04-20 11:20:22.845761
2-130,3886,3337,2025-01-03,15,438.6,2026-04-20 11:20:22.845761
2-131,3858,3818,2025-01-03,3,330.24,2026-04-20 11:20:22.847254
2-132,8652,5847,2025-01-03,18,345.25,2026-04-20 11:20:22.847254
2-133,2235,7249,2025-01-03,3,51.35,2026-04-20 11:20:22.848358
2-134,4936,4867,2025-01-03,2,346.12,2026-04-20 11:20:22.848358
2-135,1505,58,2025-01-03,11,76.85,2026-04-20 11:20:22.849451
2-136,295,9484,2025-01-03,9,335.87,2026-04-20 11:20:22.849451
2-137,8685,8827,2025-01-03,2,61.78,2026-04-20 11:20:22.850574
2-138,5278,7622,2025-01-03,1,291.04,2026-04-20 11:20:22.851172
2-139,6653,1103,2025-01-03,5,309.32,2026-04-20 11:20:22.851172
2-140,458,3190,2025-01-03,19,267.96,2026-04-20 11:20:22.852279
2-141,7158,336,2025-01-03,17,162.37,2026-04-20 11:20:22.852279
2-142,9844,8108,2025-01-03,17,327.56,2026-04-20 11:20:22.853386
2-143,4626,7853,2025-01-03,11,161.23,2026-04-20 11:20:22.854435
2-144,6519,9651,2025-01-03,3,259.96,2026-04-20 11:20:22.854435
2-145,3181,7918,2025-01-03,16,385.24,2026-04-20 11:20:22.855533
2-146,3110,6315,2025-01-03,5,323.14,2026-04-20 11:20:22.856041
2-147,3189,6731,2025-01-03,15,154.45,2026-04-20 11:20:22.856041
2-148,7481,315,2025-01-03,7,316.59,2026-04-20 11:20:22.857096
2-149,4085,8456,2025-01-03,13,311.87,2026-04-20 11:20:22.858195
2-150,7568,465,2025-01-03,8,437.76,2026-04-20 11:20:22.858195
2-151,3280,5064,2025-01-03,1,145.73,2026-04-20 11:20:22.859200
2-152,8043,5167,2025-01-03,11,56.88,2026-04-20 11:20:22.860286
2-153,987,7220,2025-01-03,8,328.29,2026-04-20 11:20:22.860286
2-154,8972,4357,2025-01-03,11,168.14,2026-04-20 11:20:22.861237
2-155,4113,2710,2025-01-03,1,400.92,2026-04-20 11:20:22.861743
2-156,1173,4733,2025-01-03,1,276.04,2026-04-20 11:20:22.862750
2-157,535,9914,2025-01-03,11,449.5,2026-04-20 11:20:22.862750
2-158,9988,1933,2025-01-03,20,454.23,2026-04-20 11:20:22.863750
2-159,2233,7096,2025-01-03,18,424.6,2026-04-20 11:20:22.864750
2-160,8486,1004,2025-01-03,20,38.46,2026-04-20 11:20:22.864750
2-161,3115,3712,2025-01-03,19,401.33,2026-04-20 11:20:22.864750
2-162,9824,1021,2025-01-03,12,398.41,2026-04-20 11:20:22.866347
2-163,117,3755,2025-01-03,7,463.41,2026-04-20 11:20:22.867417
2-164,6888,695,2025-01-03,6,227.46,2026-04-20 11:20:22.868417
2-165,1898,6087,2025-01-03,2,394.77,2026-04-20 11:20:22.869437
2-166,4201,7955,2025-01-03,19,484.95,2026-04-20 11:20:22.869437
2-167,5637,7099,2025-01-03,2,495.1,2026-04-20 11:20:22.870453
2-168,1108,3880,2025-01-03,19,217.95,2026-04-20 11:20:22.870453
2-169,6208,3941,2025-01-03,9,307.2,2026-04-20 11:20:22.871958
2-170,4881,407,2025-01-03,15,180.65,2026-04-20 11:20:22.872974
2-171,6359,4886,2025-01-03,10,486.85,2026-04-20 11:20:22.874091
2-172,5964,8860,2025-01-03,13,350.96,2026-04-20 11:20:22.875094
2-173,2895,8016,2025-01-03,19,54.53,2026-04-20 11:20:22.875094
2-174,3820,6783,2025-01-03,11,260.56,2026-04-20 11:20:22.875094
2-175,5979,389,2025-01-03,14,484.69,2026-04-20 11:20:22.876614
2-176,564,1530,2025-01-03,4,209.78,2026-04-20 11:20:22.876614
2-177,4055,5955,2025-01-03,2,62.08,2026-04-20 11:20:22.878076
2-178,1085,3958,2025-01-03,3,18.14,2026-04-20 11:20:22.878076
2-179,7438,7099,2025-01-03,10,495.1,2026-04-20 11:20:22.879075
2-180,6361,2030,2025-01-03,18,402.41,2026-04-20 11:20:22.879075
2-181,3883,5310,2025-01-03,4,69.84,2026-04-20 11:20:22.880541
2-182,8751,7948,2025-01-03,19,84.69,2026-04-20 11:20:22.880541
2-183,6063,7911,2025-01-03,6,266.85,2026-04-20 11:20:22.882047
2-184,248,4643,2025-01-03,16,114.48,2026-04-20 11:20:22.882047
2-185,7852,1454,2025-01-03,14,167.4,2026-04-20 11:20:22.883093
2-186,7072,5781,2025-01-03,13,146.21,2026-04-20 11:20:22.883093
2-187,3578,6996,2025-01-03,7,464.21,2026-04-20 11:20:22.884322
2-188,3832,7416,2025-01-03,1,225.56,2026-04-20 11:20:22.885329
2-189,6996,1967,2025-01-03,1,437.56,2026-04-20 11:20:22.885329
2-190,3614,6038,2025-01-03,5,488.11,2026-04-20 11:20:22.885329
2-191,4313,8188,2025-01-03,19,76.52,2026-04-20 11:20:22.886835
2-192,2189,1516,2025-01-03,7,488.43,2026-04-20 11:20:22.887845
2-193,6877,6054,2025-01-03,12,155.57,2026-04-20 11:20:22.887845
2-194,3787,5891,2025-01-03,16,78.18,2026-04-20 11:20:22.888845
2-195,6192,5480,2025-01-03,9,69.33,2026-04-20 11:20:22.888845
2-196,2089,4673,2025-01-03,20,80.34,2026-04-20 11:20:22.889845
2-197,5155,7263,2025-01-03,8,41.72,2026-04-20 11:20:22.890845
2-198,7000,6587,2025-01-03,19,201.04,2026-04-20 11:20:22.890845
2-199,2766,22,2025-01-03,13,75.99,2026-04-20 11:20:22.890845
2-200,4143,6435,2025-01-03,13,465.67,2026-04-20 11:20:22.892350
2-201,4222,6123,2025-01-03,19,221.07,2026-04-20 11:20:22.893390
2-202,6331,7124,2025-01-03,6,493.0,2026-04-20 11:20:22.893390
2-203,5765,8023,2025-01-03,13,348.67,2026-04-20 11:20:22.894390
2-204,7426,902,2025-01-03,1,227.64,2026-04-20 11:20:22.895389
2-205,2431,1255,2025-01-03,17,351.15,2026-04-20 11:20:22.895389
2-206,270,612,2025-01-03,15,451.27,2026-04-20 11:20:22.896389
2-207,9912,2662,2025-01-03,16,189.23,2026-04-20 11:20:22.897389
2-208,7245,6010,2025-01-03,2,494.26,2026-04-20 11:20:22.897893
2-209,8153,9907,2025-01-03,4,54.66,2026-04-20 11:20:22.897893
2-210,7558,5550,2025-01-03,13,304.45,2026-04-20 11:20:22.898895
2-211,161,4733,2025-01-03,13,276.04,2026-04-20 11:20:22.898895
2-212,3883,4298,2025-01-03,2,180.31,2026-04-20 11:20:22.899894
2-213,8167,5527,2025-01-03,2,154.28,2026-04-20 11:20:22.900894
2-214,9765,3069,2025-01-03,15,13.72,2026-04-20 11:20:22.900894
2-215,4263,5176,2025-01-03,9,402.95,2026-04-20 11:20:22.901895
2-216,8136,7149,2025-01-03,7,394.29,2026-04-20 11:20:22.902895
2-217,895,4426,2025-01-03,13,26.21,2026-04-20 11:20:22.903400
2-218,4365,8549,2025-01-03,1,52.11,2026-04-20 11:20:22.903400
2-219,8531,8580,2025-01-03,7,188.65,2026-04-20 11:20:22.904401
2-220,2688,8790,2025-01-03,5,72.22,2026-04-20 11:20:22.905400
2-221,4679,2322,2025-01-03,16,472.8,2026-04-20 11:20:22.905400
2-222,4210,8666,2025-01-03,15,403.42,2026-04-20 11:20:22.906401
2-223,7009,182,2025-01-03,11,452.89,2026-04-20 11:20:22.906401
2-224,7690,7238,2025-01-03,1,439.63,2026-04-20 11:20:22.907905
2-225,7699,996,2025-01-03,19,440.43,2026-04-20 11:20:22.907905
2-226,4008,6719,2025-01-03,19,55.1,2026-04-20 11:20:22.908926
2-227,2911,4392,2025-01-03,19,99.83,2026-04-20 11:20:22.909926
2-228,1463,8796,2025-01-03,20,353.92,2026-04-20 11:20:22.909926
2-229,9178,6887,2025-01-03,3,383.28,2026-04-20 11:20:22.910926
2-230,1533,194,2025-01-03,2,215.84,2026-04-20 11:20:22.910926
2-231,8663,5503,2025-01-03,2,265.74,2026-04-20 11:20:22.911926
2-232,3114,9765,2025-01-03,7,148.93,2026-04-20 11:20:22.912430
2-233,6037,1436,2025-01-03,12,234.97,2026-04-20 11:20:22.913435
2-234,7511,812,2025-01-03,5,138.75,2026-04-20 11:20:22.913435
2-235,4412,9402,2025-01-03,11,118.45,2026-04-20 11:20:22.914440
2-236,2439,6805,2025-01-03,11,359.53,2026-04-20 11:20:22.914440
2-237,3675,6714,2025-01-03,3,290.62,2026-04-20 11:20:22.915439
2-238,3385,3298,2025-01-03,7,395.23,2026-04-20 11:20:22.915439
2-239,2840,7073,2025-01-03,13,344.87,2026-04-20 11:20:22.916439
2-240,2715,3519,2025-01-03,16,174.54,2026-04-20 11:20:22.916439
2-241,5755,6756,2025-01-03,3,156.53,2026-04-20 11:20:22.917439
2-242,7828,4917,2025-01-03,7,147.79,2026-04-20 11:20:22.918440
2-243,3994,9849,2025-01-03,7,230.74,2026-04-20 11:20:22.918944
2-244,6887,1841,2025-01-03,1,203.11,2026-04-20 11:20:22.918944
2-245,2175,4938,2025-01-03,13,184.12,2026-04-20 11:20:22.919944
2-246,8990,2839,2025-01-03,4,130.44,2026-04-20 11:20:22.919944
2-247,7192,229,2025-01-03,20,95.58,2026-04-20 11:20:22.920945
2-248,5929,3902,2025-01-03,7,221.01,2026-04-20 11:20:22.920945
2-249,1533,4427,2025-01-03,19,264.26,2026-04-20 11:20:22.921944
2-250,2673,4210,2025-01-03,7,56.37,2026-04-20 11:20:22.922944
2-251,2544,5699,2025-01-03,1,193.77,2026-04-20 11:20:22.922944
2-252,1935,6631,2025-01-03,2,270.06,2026-04-20 11:20:22.923944
2-253,4467,620,2025-01-03,20,311.97,2026-04-20 11:20:22.924449
2-254,4852,1748,2025-01-03,4,372.91,2026-04-20 11:20:22.924449
2-255,7768,3997,2025-01-03,13,67.86,2026-04-20 11:20:22.925450
2-256,9459,8355,2025-01-03,17,338.1,2026-04-20 11:20:22.925450
2-257,292,2886,2025-01-03,14,49.01,2026-04-20 11:20:22.926450
2-258,6308,6431,2025-01-03,5,198.14,2026-04-20 11:20:22.927450
2-259,4409,5500,2025-01-03,17,19.22,2026-04-20 11:20:22.927450
2-260,1755,2687,2025-01-03,20,27.07,2026-04-20 11:20:22.927450
2-261,1717,9000,2025-01-03,4,421.9,2026-04-20 11:20:22.928954
2-262,7399,6480,2025-01-03,5,153.55,2026-04-20 11:20:22.928954
2-263,2582,7984,2025-01-03,2,102.82,2026-04-20 11:20:22.929959
2-264,1489,5064,2025-01-03,6,145.73,2026-04-20 11:20:22.929959
2-265,6350,1424,2025-01-03,19,268.72,2026-04-20 11:20:22.930959
2-266,4503,9123,2025-01-03,8,412.17,2026-04-20 11:20:22.931959
2-267,5372,3016,2025-01-03,2,286.34,2026-04-20 11:20:22.931959
